,2017,2016,2015,2014,2013
负债占资产比率(%),0.888468404,0.894322584,0.880365384,0.748251346,0.642554879
长期资金占不动产及设备比率(%),21.14364504,28.83928415,20.03080984,0,0
流动比率(%),1.371053707,1.450590569,1.542943271,1.174864111,1.867720266
速动比率(%),0.337294802,0.329509355,0.348659152,0.116139848,0.52773951
应收款项周转率,6.721101509,12.0601174,0,0,0
应收款项周转天数,53.50228729,29.82150562,0,0,0
存货周转率,0.320247699,0.475971035,0.877638167,0,0.128842828
存货周转天数,1124.129855,756.348545,410.1918233,0,2794.101974
固定资产周转率,17.04216799,27.79768701,17.50674154,7.037469267,65.87509913
总资产周转率,0.239854583,0.370673412,0.681893671,0.016207853,0.147200808
ROA=资产收益率,0.011335693,0.014093497,0.024296594,0,0.011245087
净资产收益率,0.10430511,0.125877965,0.200378332,0,0.030973339
ROA=税前纯益占实收资本比率,0.938462223,1.186732804,0.86909488,0,0.172082354
毛利率,0.140143273,0.151954433,0.148702193,0,0.54715649
营业利润率,0.064296005,0.061959346,0.049074958,0,0.09273471
净利率,0.075847268,0.089995087,0.099627235,0,0.45442178
营业费用率,0.075847268,0.089995087,0.099627235,0,0.45442178
经营安全边际率,0.458787665,0.407749512,0.330021752,0,0.169484803
EPS=基本每股收益,0.700623678,0.772291363,0.60689337,0,0.131529604
营收增长率,-0.270039759,0.192095807,1880.885207,-0.876426101,1.027041314
毛利率,0.140143273,0.151954433,0.148702193,0,0.54715649
营业利润率,0.064296005,0.061959346,0.049074958,0,0.09273471
净利增长率,-0.092798765,0.272532211,0,0,-0.353579864
净资本增长率,0.051661679,0.221009182,79.60297079,0.209522679,0.032275208
现金流量比率,0.066051285,0,0,0.005695867,0.02387765
现金再投资比率,0.070319244,0,0,-0.113916283,-0.069579503
